,title,locateName,totalPrice,unitPrice,houseInfo,followInfo,tags,url
0,翡翠滨江 4室2厅 南,"['翡翠滨江 ', '邛崃']",238.8,"12,552元/平",4室2厅 | 190.25平米 | 南 | 其他 | 19层  | 塔楼,0人关注 / 1天以前发布,随时看房,https://cd.lianjia.com/ershoufang/106118386263.html
1,东城尚都 2室2厅 东,"['东城尚都 ', '邛崃']",49.99,"7,021元/平",2室2厅 | 71.21平米 | 东 | 简装 | 低楼层(共28层)  | 塔楼,0人关注 / 5天以前发布,房本满五年,https://cd.lianjia.com/ershoufang/106118327691.html
